225 225
8742 377 370
1207805 1335 1332
2407796 2733 2730
3607723 4206 4188
4808651 5517 5490
6008699 6669 6636
7207656 7893 7874
8407610 9338 9384
9607562 11041 11234
10807523 12910 13358
12009271 14957 15662
13207467 17019 17979
14410059 19067 20301
15607394 21154 22636
16807372 23311 25013
18007351 25465 27362
19208447 27545 29688
20408664 29485 31815
21607687 31373 33754
22807219 33257 35670
24007199 35194 37612
25207151 37252 39662
26407131 39421 41825
27609632 41579 43972
28808632 43804 46196
30007139 46099 48484
31206983 48407 50795
32406955 50680 53078
33606926 52801 55210
34807327 54905 57308
36007868 57091 59486
37206830 59347 61742
38407350 61667 64054
39606760 63975 66361
40806728 66255 68650
42007757 68559 70920
43207031 70831 73213
44406670 72999 75390
45606645 74998 77396
46806571 76881 79312
48006574 78571 81238
49208088 79937 83189
50406544 81274 85152
51606463 82774 87229
52806454 84575 89415
54006376 86621 91544
55206381 88583 93516
56407840 90421 95356
57606520 92211 97138
58806280 94100 99015
60006253 96151 101032
61206342 98321 103128
62406304 100553 105250
63608064 102776 107342
64806946 104980 109445
66006249 107241 111612
67206513 109509 113798
68406299 111612 115794
69606092 113661 117670
70808365 115903 119620
72006406 117957 121312
73207818 119463 122498
74406094 120909 123730
75605945 122659 125354
76805921 124716 127294
78005903 126713 129212
79206232 128671 131135
80406796 130521 132948
81605786 132189 134579
82805769 133832 136216
84006175 135499 137916
85205680 137418 139883
86406054 139625 142118
87607335 142143 144632
88805591 144787 147268
90005552 147384 149859
91205527 149908 152376
92406112 152389 154846
93605884 154713 157162
94806464 157016 159470
96005405 159461 161914
97205377 161959 164418
98405331 164439 166918
99605302 166891 169384
100805764 169355 171840
102006644 171835 174322
103205632 174419 176898
104405177 177297 179773
105605150 180373 182846
106805581 183615 186112
108005887 187063 189601
109206556 190785 193364
110405027 194667 197263
111604992 198547 201112
112804959 202315 204818
114006129 205997 208480
115205727 209651 212125
116406631 213351 215816
117604842 217082 219546
118804794 220747 223203
120004770 224263 226724
121204731 227653 230088
122404996 231141 233572
123605239 234709 237160
124807062 238049 240518
126004613 241256 243722
127204587 244289 246758
128404575 247115 249588
129604991 249707 252252
130805344 252219 254912
132004713 254607 257568
133204414 256746 260146
134404383 258821 262586
135604376 260917 265028
136804703 262981 267538
138005945 264843 269925
139204970 266709 272352
140404236 268645 274826
141604216 270608 277326
142804170 272777 279880
144004825 275175 282482
145204673 277725 285118
146405892 280519 287980
147604501 283713 291170
148804010 286939 294418
150003973 290209 297687
151203957 293555 301036
152405632 296915 304414
153605175 300273 307802
154804254 303553 311148
156003845 306829 314402
157203784 310097 317635
158403789 313313 320823
159603914 316461 323968
160805356 319581 327082
162003676 322787 330275
163203508 326107 333594
164403476 329501 336989
165603579 332851 340376
166805094 336047 343783
168004339 339035 347062
169203354 341773 350076
170403328 344377 352865
171603285 346987 355551
172803261 349519 358094
174004701 351924 360492
175204053 354289 362778
176403174 356939 365248
177603126 359897 368058
178803221 363037 371065
180003061 366295 374216
181203071 369443 377270
182405279 372413 380148
183604734 375281 382930
184803465 378363 385978
186002903 381531 389142
187203022 384754 392370
188404315 387873 395467
189604807 390575 398103
190803631 393113 400580
192003658 395729 403203
193203089 398703 406205
194487180 402263 409790
195603368 405445 412986
196805139 409133 416692
198003723 413136 420682
199202574 417065 424658
200402533 420711 428388
201602613 424215 431984
202803033 427652 435455
204002841 431055 438824
205203746 434537 442273
206402366 438381 446062
207602368 442529 450136
208802432 446711 454302
210002273 450693 458262
211202914 454543 462118
212402756 458243 465868
213602518 461917 469560
214802180 465565 473219
216002147 469105 476778
217202290 472605 480306
218403721 476038 483760
219603898 479230 486970
220802013 481927 489781
222001951 484239 492536
223201932 486341 495271
224401890 488502 497944
225603548 490745 500557
226802706 493351 503370
228001820 496404 506456
229201792 499624 509671
230401737 502727 512816
231601735 505670 515922
232802243 508377 518954
234002622 510918 521927
235203605 513343 524758
236401569 515743 527544
237601538 518369 530560
238801507 521275 533696
240003417 524429 536953
241203134 527638 540172
242402310 530659 543214
243601385 533683 546220
244801350 536594 549130
246001483 539489 552020
247201308 542449 554972
248774361 546447 558964
249603253 548644 561164
250801108 551970 564490
252001207 555460 567980
253201135 559043 571562
254401099 562477 574996
255602151 565750 578283
256802610 568823 581350
258001010 571628 584176
259201010 573775 586470
260400982 575309 588549
261600802 576769 590698
262801710 578333 592972
264001672 580323 595528
265200823 582507 597892
266400792 584829 600054
267600778 587153 602238
268800591 589433 604454
8742 0.000000 0.000000 0.000000
1207805 0.986653 0.002458 0.002492
2407796 2.423467 0.006038 0.002492
3607723 3.929625 -0.004282 -0.006852
4808651 5.272298 -0.021009 -0.012458
6008699 6.453048 -0.040133 -0.016195
7207656 7.718194 -0.049590 -0.007475
8407610 9.235892 0.000532 0.033013
9607562 11.047571 0.227402 0.124578
10807523 13.017648 0.801197 0.283415
12009271 15.037246 1.760626 0.443497
13207467 16.891526 3.035570 0.602334
14410059 18.499011 4.603699 0.773005
15607394 19.862108 6.421868 0.927482
16807372 20.991960 8.459536 1.064518
18007351 21.860615 10.604325 1.185981
19208447 22.380288 12.808051 1.339212
20408664 22.620321 14.884186 1.455692
21607687 22.784024 16.843993 1.487459
